Pais;Encuesta;Variable;Definición;Valor;Etiqueta;Variable_nuestra;Reclasificacion_nuestra;Observaciones
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6440;¿para realizar este trabajo, tiene usted algún tipo de contrato?;1;Si;Registración;Contrato;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6440;¿para realizar este trabajo, tiene usted algún tipo de contrato?;2;No;Registración;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6450;¿el contrato es verbal o escrito?;1;Verbal;Registración;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6450;¿el contrato es verbal o escrito?;2;Escrito;Registración;Contrato;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6450;¿el contrato es verbal o escrito?;3;Ns/Nr;Registración;Resto;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6990;¿está afiliado por una empresas o individualmente a una aseguradora de riesgos de trabajo?;1;Si;Prestaciones;No utilizada;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6990;¿está afiliado por una empresas o individualmente a una aseguradora de riesgos de trabajo?;2;No;Prestaciones;No utilizada;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6920;¿esta cotizando actualmente en un fondo de pensaiones?;1;Si;Seguridad Social;Acceso;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6920;¿esta cotizando actualmente en un fondo de pensaiones?;2;No;Seguridad Social;Sin acceso;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6940;¿quién paga mensualmente por la afiliación?;1;paga una parte y otra la empresa o patrón;Prestaciones;No utilizada;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6940;¿quién paga mensualmente por la afiliación?;2;paga una parte y otra la empresa o patrón;Prestaciones;No utilizada;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6940;¿quién paga mensualmente por la afiliación?;3;paga una parte y otra la empresa o patrón;Prestaciones;No utilizada;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6940;¿quién paga mensualmente por la afiliación?;4;No paga;Prestaciones;No utilizada;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6800;¿cuántas horas a la semana trabaja normalmente ... En ese trabajo?;numérico;-;Part Time Involuntario;- 35 hs y más de 35hs;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6810;¿cuál es la razón por la que trabaja normalmente menos de 40 horas a la semana?;1;Es lo único que ha conseguido pero quiere trabajar más horas;Part Time Involuntario;Involuntario;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6810;¿cuál es la razón por la que trabaja normalmente menos de 40 horas a la semana?;2;Es la jornada que se ajusta a sus necesidades;Part Time Involuntario;Voluntario;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6810;¿cuál es la razón por la que trabaja normalmente menos de 40 horas a la semana?;3;Otra;Part Time Involuntario;-;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6460;¿El contrato es por tiempo definido o indefinido?;1;A término Indefinido;Tiempo determinado;no temporal;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6460;¿El contrato es por tiempo definido o indefinido?;2;A término fijo;Tiempo determinado;temporal;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6460;¿El contrato es por tiempo definido o indefinido?;3;No sabe, no informa;Tiempo determinado;-;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6915;¿en caso de enfermedad cómo cubriría los costos médicos?;1;Es afiliado como cotizante a un régimen contributivo de salud (EPS);Salud;;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6915;¿en caso de enfermedad cómo cubriría los costos médicos?;2;Es afiliado a un régimen subsidiado de salud;Salud;;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6915;¿en caso de enfermedad cómo cubriría los costos médicos?;3;Es beneficiario de un afiliado;Salud;;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6915;¿en caso de enfermedad cómo cubriría los costos médicos?;4;Con ahorros personales;Salud;;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6915;¿en caso de enfermedad cómo cubriría los costos médicos?;5;Con ayudas de los hijos o familiares;Salud;;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6915;¿en caso de enfermedad cómo cubriría los costos médicos?;6;Con otro tipo de seguro o cubrimiento;Salud;;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6915;¿en caso de enfermedad cómo cubriría los costos médicos?;7;Pidiendo dinero prestado;Salud;;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6915;¿en caso de enfermedad cómo cubriría los costos médicos?;8;Vendería su vivienda o bienes del hogar;Salud;;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6915;¿en caso de enfermedad cómo cubriría los costos médicos?;9;Empeñaría bienes del hogar;Salud;;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6915;¿en caso de enfermedad cómo cubriría los costos médicos?;10;No lo ha considerado;Salud;;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6915;¿en caso de enfermedad cómo cubriría los costos médicos?;11;No tiene recursos;Salud;;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6915;¿en caso de enfermedad cómo cubriría los costos médicos?;12;Otro;Salud;;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;P6500;Antes de descuentos, cuánto ganó el mes pasado;numérica;-;Ingresos;;
Colombia;Gran Encuesta Integrada de Hogares - GEIH;INGLABO;ingresos laborales;numérica;-;Ingresos;;
Costa Rica;Encuesta Nacional de Hogares;FACTOR;Factor de expansión;numérico;-;Ponderador;-;
Costa Rica;Encuesta Nacional de Hogares;Zona;"Urbana: se incluye bajo esta categoría a aquellos segmentos clasificados con grado de urbanización ""urbana"" y ""periferia urbana"".
 
 Rural: se incluye bajo esta categoría a aquellos segmentos clasificados con grado de urbanización ""rural concentrado"" y ""rural disperso"".";1;Urbano;Zona;Urbano;
Costa Rica;Encuesta Nacional de Hogares;Zona;"Urbana: se incluye bajo esta categoría a aquellos segmentos clasificados con grado de urbanización ""urbana"" y ""periferia urbana"".
 
 Rural: se incluye bajo esta categoría a aquellos segmentos clasificados con grado de urbanización ""rural concentrado"" y ""rural disperso"".";2;Rural;Zona;Rural;
Costa Rica;Encuesta Nacional de Hogares;CondAct;Cond Actividad;1;Ocupado;Cond Actividad;Ocupados;
Costa Rica;Encuesta Nacional de Hogares;CondAct;Cond Actividad;2;Desempleado abierto;Cond Actividad;Resto;
Costa Rica;Encuesta Nacional de Hogares;CondAct;Cond Actividad;3;Fuera de la fuerza de trabajo;Cond Actividad;Resto;
Costa Rica;Encuesta Nacional de Hogares;SecInsPri;Sector institucional empleo principal;1;Gobierno Central;Sector;Resto;
Costa Rica;Encuesta Nacional de Hogares;SecInsPri;Sector institucional empleo principal;2;Resto del sector público;Sector;Resto;
Costa Rica;Encuesta Nacional de Hogares;SecInsPri;Sector institucional empleo principal;3;Sector privado;Sector;Privado;
Costa Rica;Encuesta Nacional de Hogares;SecInsPri;Sector institucional empleo principal;4;Organismos internacionales;Sector;Resto;
Costa Rica;Encuesta Nacional de Hogares;SecInsPri;Sector institucional empleo principal;9;No bien especificadas;Sector;Resto;
Costa Rica;Encuesta Nacional de Hogares;PosiEmpPri;Posición en el empleo principal;11;Asalariada de hogar privado;Sector;SD;
Costa Rica;Encuesta Nacional de Hogares;PosiEmpPri;Posición en el empleo principal;12;Asalariada de empresa o institución;Sector;Privado sin SD;
Costa Rica;Encuesta Nacional de Hogares;PosiEmpPri;Posición en el empleo principal;13;Auxiliar no remunerado;Sector;Privado sin SD;
Costa Rica;Encuesta Nacional de Hogares;PosiEmpPri;Posición en el empleo principal;21;Empleadora;Sector;Privado sin SD;
Costa Rica;Encuesta Nacional de Hogares;PosiEmpPri;Posición en el empleo principal;22;Cuenta Propia;Sector;Privado sin SD;
Costa Rica;Encuesta Nacional de Hogares;Posición en el empleo principal;Posición en el empleo principal;11;Asalariada de hogar privado;Categoria Ocupacional;Resto;
Costa Rica;Encuesta Nacional de Hogares;Posición en el empleo principal;Posición en el empleo principal;12;Asalariada de empresa o institución;Categoria Ocupacional;Asalariados;
Costa Rica;Encuesta Nacional de Hogares;Posición en el empleo principal;Posición en el empleo principal;13;Auxiliar no remunerado;Categoria Ocupacional;Resto;
Costa Rica;Encuesta Nacional de Hogares;Posición en el empleo principal;Posición en el empleo principal;21;Empleadora;Categoria Ocupacional;Resto;
Costa Rica;Encuesta Nacional de Hogares;Posición en el empleo principal;Posición en el empleo principal;22;Cuenta Propia;Categoria Ocupacional;Resto;
Costa Rica;Encuesta Nacional de Hogares;C10;;1;1 persona;Tamaño;Pequeño;
Costa Rica;Encuesta Nacional de Hogares;C10;;2;2 persona;Tamaño;Pequeño;
Costa Rica;Encuesta Nacional de Hogares;C10;;3;3 persona;Tamaño;Pequeño;
Costa Rica;Encuesta Nacional de Hogares;C10;;4;4 persona;Tamaño;Pequeño;
Costa Rica;Encuesta Nacional de Hogares;C10;;5;5 persona;Tamaño;Pequeño;
Costa Rica;Encuesta Nacional de Hogares;C10;;6;6 persona;Tamaño;Pequeño;
Costa Rica;Encuesta Nacional de Hogares;C10;;7;7 persona;Tamaño;Pequeño;
Costa Rica;Encuesta Nacional de Hogares;C10;;8;8 persona;Tamaño;Pequeño;
Costa Rica;Encuesta Nacional de Hogares;C10;;9;9 persona;Tamaño;Pequeño;
Costa Rica;Encuesta Nacional de Hogares;C10;;10;10 a menos de 20;Tamaño;Mediano;
Costa Rica;Encuesta Nacional de Hogares;C10;;11;20 a menos de 30;Tamaño;Mediano;
Costa Rica;Encuesta Nacional de Hogares;C10;;12;30 a menos de 100;Tamaño;Mediano;
Costa Rica;Encuesta Nacional de Hogares;C10;;13;100 o más;Tamaño;Grande;
Costa Rica;Encuesta Nacional de Hogares;C10;;14;ignorado;Tamaño;Resto;
Costa Rica;Encuesta Nacional de Hogares;OcupEmpPri;La ocupación del empleo principal se clasifica de acuerdo a los Grupos Mayores del manual de Clasificación de Ocupaciones de Costa Rica 2010 (COCR-2010), el cual está basado en la Clasificación Internacional Uniforme de Ocupaciones, CIOU-08 de la Organización Internacional del Trabajo.;numérico;;Calificación;ISCO;
Costa Rica;Encuesta Nacional de Hogares;E9A;En este trabajo (nombre) disfruta de.....aguinaldo?;1;Si;Prestaciones;No utilizada;
Costa Rica;Encuesta Nacional de Hogares;E9A;En este trabajo (nombre) disfruta de.....aguinaldo?;2;No;Prestaciones;No utilizada;
Costa Rica;Encuesta Nacional de Hogares;E10A;E10. ¿En este trabajo tiene rebajos en su salario de… ..seguro social?;1;Si;Registración;Contrato;
Costa Rica;Encuesta Nacional de Hogares;E10A;E10. ¿En este trabajo tiene rebajos en su salario de… ..seguro social?;2;No;Registración;Resto;
Costa Rica;Encuesta Nacional de Hogares;E10A;E10. ¿En este trabajo tiene rebajos en su salario de… ..seguro social?;1;Si;Seguridad Social;Acceso;
Costa Rica;Encuesta Nacional de Hogares;E10A;E10. ¿En este trabajo tiene rebajos en su salario de… ..seguro social?;2;No;Seguridad Social;Sin acceso;
Costa Rica;Encuesta Nacional de Hogares;C2A1;¿Cuántas horas trabaja (nombre) normalmente por semana?;numérico;;Part Time Involuntario;- 35 hs y más de 35hs;
Costa Rica;Encuesta Nacional de Hogares;C3;La semana pasada (nombre) hubiera querido trabajar más horas;1;Si;Part Time Involuntario;Involuntario;
Costa Rica;Encuesta Nacional de Hogares;C3;La semana pasada (nombre) hubiera querido trabajar más horas;2;No;Part Time Involuntario;Voluntario;
Costa Rica;Encuesta Nacional de Hogares;C3;La semana pasada (nombre) hubiera querido trabajar más horas;9;Ignorado;Part Time Involuntario;-;
Costa Rica;Encuesta Nacional de Hogares;Estabili;esabilidad en el empleo;10;empleo permanente;Tiempo determinado;no temporal;
Costa Rica;Encuesta Nacional de Hogares;Estabili;esabilidad en el empleo;21;no permanente de larga duración;Tiempo determinado;temporal;
Costa Rica;Encuesta Nacional de Hogares;Estabili;esabilidad en el empleo;22;no permanente duración media;Tiempo determinado;temporal;
Costa Rica;Encuesta Nacional de Hogares;Estabili;esabilidad en el empleo;23;no permanente corta duración;Tiempo determinado;temporal;
Costa Rica;Encuesta Nacional de Hogares;Estabili;esabilidad en el empleo;29;Estabilidad ignorada;Tiempo determinado;Resto;
Costa Rica;Encuesta Nacional de Hogares;Estabili;esabilidad en el empleo;30;Actividad ocasional;Tiempo determinado;temporal;
Costa Rica;Encuesta Nacional de Hogares;IPM_S1;se consideran con privación aquellos hogares con al menos una persona de 18 años o más que no cuente con un seguro de salud (público o privado).;0;Sin la privación;Salud;;
Costa Rica;Encuesta Nacional de Hogares;IPM_S1;se consideran con privación aquellos hogares con al menos una persona de 18 años o más que no cuente con un seguro de salud (público o privado).;1;Con la privación;Salud;;
Costa Rica;Encuesta Nacional de Hogares;E12A;"E12a. ¿En este trabajo cuánto fue su salario el mes pasado,
 sin ningún tipo de rebajo? (salario bruto)
 (incluya pago de horas extra, pero NO incluya propinas)";numérica;-;Ingresos;;
Costa Rica;Encuesta Nacional de Hogares;E12B;"E12b. ¿Ese dato que me dio, efectivamente es el salario...
 ...sin ningún tipo de rebajo (bruto)?. . . . . O1
 ...sólo con rebajos de CCSS,
 Bco. Popular e impuesto de renta?
 (neto) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . O2
 ...con toda clase de rebajos (líquido)?. . . . O3";1;Bruto;Ingresos;;
